NumeroPaquete,Origen,Destino,Longitud,CodigoFuncion,CampoVector,NumeroObjetos
48,4,3,78,Response,Single-Bit Binary Input (Obj:01  Var:01);No implementado;;No implementado;Single-Bit Binary Input (Obj:01  Var:01);No implementado;Internal Indications of Response;No implementado;32-Bit Frozen Binary Counter Without Flag (Obj:21  Var:05);No implementado;32-Bit Analog Input Without Flag (Obj:30  Var:03);No implementado;;No implementado;Internal Indications of Response;No implementado;;No implementado;;No implementado;Internal Indications of Response;No implementado;,11
49,4,6,10,Unsolicited Response,ND,0
50,4,6,10,Unsolicited Response,ND,0
51,4,6,10,Unsolicited Response,ND,0
52,4,6,10,Unsolicited Response,ND,0
53,4,6,10,Unsolicited Response,ND,0
54,4,6,10,Unsolicited Response,ND,0
55,4,6,10,Unsolicited Response,ND,0
56,4,6,10,Unsolicited Response,ND,0
57,3,4,17,Enable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
58,4,3,10,Response,ND,0
59,4,6,10,Unsolicited Response,ND,0
60,3,4,17,Enable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
61,4,3,10,Response,ND,0
62,4,6,10,Unsolicited Response,ND,0
63,4,3,10,Unsolicited Response,ND,0
64,3,4,8,Confirm,ND,0
65,3,4,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
66,4,3,10,Response,ND,0
67,3,4,18,Write,Time and Date (Obj:50  Var:01);0xff87b41d2f;,1
68,4,3,10,Response,ND,0
69,3,4,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
70,4,3,10,Response,ND,0
71,3,4,18,Write,Time and Date (Obj:50  Var:01);0xff87b41e5b;,1
72,4,3,10,Response,ND,0
73,3,4,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
74,4,3,10,Response,ND,0
75,3,4,14,Write,Internal Indications (Obj:80  Var:01);No implementado;,1
76,4,3,10,Response,ND,0
77,3,4,20,Read,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;Class 0 Data (Obj:60  Var:01);Null;,4
78,4,3,78,Response,Single-Bit Binary Input (Obj:01  Var:01);No implementado;;numeroPuntos=10;No implementado;No implementado;No implementado;No implementado;No implementado;No implementado;No implementado;No implementado;No implementado;No implementado;Internal Indications of Response;No implementado;Internal Indications of Response;No implementado;Double-bit Input Default Variation (Obj:03  Var:Default);No implementado;Internal Indications of Response;No implementado;;No implementado;;No implementado;;No implementado;;No implementado;Internal Indications of Response;No implementado;,11
79,3,4,8,Warm Restart,ND,0
80,4,3,16,Response,Time Delay - Fine (Obj:52  Var:02);numeroPuntos=1;0x7d0,1
81,3,4,8,Warm Restart,ND,0
82,4,3,16,Response,Time Delay - Fine (Obj:52  Var:02);numeroPuntos=1;0x7d0,1
83,4,3,10,Unsolicited Response,ND,0
84,3,65535,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
85,3,65535,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
86,4,3,10,Unsolicited Response,ND,0
87,3,4,17,Stop Application,Class 1 Data (Obj:60  Var:02);Null;;No implementado;Class 3 Data (Obj:60  Var:04);Null;,3
88,4,3,10,Response,ND,0
89,3,4,17,Stop Application,Class 1 Data (Obj:60  Var:02);Null;;No implementado;Class 3 Data (Obj:60  Var:04);Null;,3
90,4,3,10,Response,ND,0
91,6,3,10,Unsolicited Response,ND,0
92,3,65535,17,Stop Application,Class 1 Data (Obj:60  Var:02);Null;;No implementado;Class 3 Data (Obj:60  Var:04);Null;,3
93,3,65535,17,Stop Application,Class 1 Data (Obj:60  Var:02);Null;;No implementado;Class 3 Data (Obj:60  Var:04);Null;,3
